UID,State,Title,Subtitle,Brief,Text,Response 1,Response 1 Blurb,Response 2,Response 2 Blurb,
BI00038,ID,Proposition 3,"Referendum to approve or reject legislation amending school district funding, requiring provision of computing devices and online courses for high school graduation.","Referendum to approve or reject S1184; relating to education: revising Idaho Code by amending 33-125, to provide for a fiscal report card; repealing 33-129 relating to science education matching grants; amending 33-357 relating to a certain internet website; amending 33-1002 relating to the educational support program; adding new section 33-1002A relating to fractional average daily attendance; amending 33-1004 relating to staff allowances; amending 33-1004A relating to the experience and education multiplier; amending 33-1004E relating to district's salary-based apportionment; amending 33-1004F relating to obligations to the public employee retirement system and social security; amending 33-1020 relating to moneys distributed to the Idaho Digital Learning Academy; adding new section 33-1021 relating to distribution of moneys to school districts for certain math and science courses; adding new section 33-1022 relating to public school technology and expenditures or distributions of moneys for such; adding new section 33-1626 relating to dual credit; adding new section 33-1627 relating to online courses and mobile computing devices and providing certain expenditures or distributions of moneys; adding new section 33-5216 relating to public postsecondary institutions being authorized to operate public charter high schools. Shall the legislation amending school district funding, requiring provision of computing devices and online courses for high school graduation be approved? What your vote will do: A YES vote means you approve the legislation. A NO vote means you reject the legislation.",http://www.sos.idaho.gov/elect/INITS/2012refer.htm,Yes,"Approves S1184; relating to education: revising Idaho Code by amending 33-125, to provide for a fiscal report card; repealing 33-129 relating to science education matching grants; amending 33-357 relating to a certain internet website; amending 33-1002 relating to the educational support program; adding new section 33-1002A relating to fractional average daily attendance; amending 33-1004 relating to staff allowances; amending 33-1004A relating to the experience and education multiplier; amending 33-1004E relating to district's salary-based apportionment; amending 33-1004F relating to obligations to the public employee retirement system and social security; amending 33-1020 relating to moneys distributed to the Idaho Digital Learning Academy; adding new section 33-1021 relating to distribution of moneys to school districts for certain math and science courses; adding new section 33-1022 relating to public school technology and expenditures or distributions of moneys for such; adding new section 33-1626 relating to dual credit; adding new section 33-1627 relating to online courses and mobile computing devices and providing certain expenditures or distributions of moneys; adding new section 33-5216 relating to public postsecondary institutions being authorized to operate public charter high schools. Shall the legislation amending school district funding, requiring provision of computing devices and online courses for high school graduation be approved",No,Rejects  S1184; relating to education.,""
BI00039,IL,HJRCA 49,Amends the General Provisions Article of the Illinois Constitution creating a three-fifths requirement of the members elected to each house of the General Assembly for passing laws that provides a benefit increase under any pension or retirement system. Prevents other governing bodies from taking any action that increases benefits without the concurrence of three-fifths of the members of that governing body.,"Proposes to  Defines terms. Effective January 9, 2013.",http://www.ilga.gov/legislation/fulltext.asp?DocName=&SessionId=84&GA=97&DocTypeId=HJRCA&DocNum=49&GAID=11&LegID=67098&SpecSess=&Session=,Yes,"Amends the General Provisions Article of the Illinois Constitution to provide that no bill, except a bill for appropriations, that provides a benefit increase under any pension or retirement system of the State, any unit of local government or school district, or any agency or instrumentality thereof, shall become law without the concurrence of three-fifths of the members elected to each house of the General Assembly. Provides requirements for passage if the Governor vetoes a bill or returns a bill with specific recommendations for change. Provides that no ordinance, resolution, rule, or other action of the governing body, or an appointee or employee of the governing body, of any unit of local government or school district that provides an emolument increase to an official or employee that has the effect of increasing the amount of the pension or annuity that an official or employee could receive as a member of a pension or retirement system shall be valid without the concurrence of three-fifths of the members of that governing body. Provides that no action of the governing body, or an appointee or employee of the governing body, of any pension or retirement system created or maintained for the benefit of officers or employees of the State, any unit of local government or school district, or any agency or instrumentality thereof that results in a beneficial determination shall be valid without the concurrence of three-fifths of the members of that governing body.",No,Rejects the proposed constitutional amendment and maintains the current laws governing the control of pensions and retirement benefits.,""
BI00040,ME,Question 1,Citizen Initiative to allow the State of Maine to issue marriage licenses to same-sex couples,Do you want to allow the State of Maine to issue marriage licenses to same-sex couples?,http://www.mainelegislature.org/legis/bills/bills_125th/billtexts/IB000301.asp,Yes,Allows the State of Maine to issue marriage licenses to same-sex couples.,No,Retains current state law which prevents the State of Maine from issuing marriage licenses to same-sex couples.,""
BI00041,ME,Question 2,Bond Issue to build a diagnostic facility for the University of Maine System and Maine Martime Academy,"Do you favor an $11,300,000 bond issue to provide funds for capital to build a diagnostic facility for the University of Maine System; for capital improvements and equipment, including machine tool technology, for the Maine Community College System; and for capital improvements and equipment at the Maine Maritime Academy? ",http://www.mainelegislature.org/legis/bills/bills_125th/chapters/PUBLIC700.asp,Yes,"Approve a $11,300,000 bond issue to provide funds for capital to build a diagnostic facility for the University of Maine System; for capital improvements and equipment, including machine tool technology, for the Maine Community College System; and for capital improvements and equipment at the Maine Maritime Academ",No,"Reject the $11,300,000 bond issue for the University of Maine System and Maine Martime Academy.",""
BI00042,ME,Question 3,"Bond Issue to purchase land and conservation easements statewide from willing sellers for public land and water access, conservation, wildlife or fish habitat and outdoor recreation - to be matched by at least $5,000,000 in private and public contribution","Do you favor a $5,000,000 bond issue to purchase land and conservation easements statewide from willing sellers for public land and water access, conservation, wildlife or fish habitat and outdoor recreation, including hunting and fishing and deer wintering areas, and to preserve working farmland and working waterfronts to be matched by at least $5,000,000 in private and public contributions? ",http://www.mainelegislature.org/legis/bills/bills_125th/chapters/PUBLIC696.asp,Yes,"Approve a $5,000,000 bond issue to purchase land and conservation easements statewide from willing sellers for public land and water access, conservation, wildlife or fish habitat and outdoor recreation, including hunting and fishing and deer wintering areas, and to preserve working farmland and working waterfronts to be matched by at least $5,000,000 in private and public contribution",No,"Reject the $5,000,000 bond issue for purchase land and conservation easements statewide from willing sellers for public land and water access, conservation, wildlife or fish habitat and outdoor recreation, including hunting and fishing and deer wintering areas.",""
BI00043,ME,Question 4,"Bond Issue for improvements to transportation infrastructure, which will make the State eligible for at least $105,600,000 in federal and other matching funds","Do you favor a $51,500,000 bond issue for improvements to highways and bridges, local roads, airports and port facilities, as well as for funds for rail access, transit buses and the LifeFlight Foundation, which will make the State eligible for at least $105,600,000 in federal and other matching funds? ",http://www.mainelegislature.org/legis/bills/bills_125th/chapters/PUBLIC697.asp,Yes,"Approve $51,500,000 bond issue for improvements to highways and bridges, local roads, airports and port facilities, as well as for funds for rail access, transit buses and the LifeFlight Foundation, which will make the State eligible for at least $105,600,000 in federal and other matching funds.",No,"Reject the $51,500,000 for improvements to highways and bridges, local roads, airports and port facilities, as well as for funds for rail access, transit buses and the LifeFlight Foundation.",""
BI00044,ME,Question 5,"Bond Issue for drinking water systems and for wastewater treatment facilities, which will make the State eligible to secure $39,625,000 in federal grants.","Do you favor a $7,925,000 bond issue to be expended over 2 years for revolving loan funds for drinking water systems and for wastewater treatment facilities, which will make the State eligible to secure $39,625,000 in federal grants",http://www.mainelegislature.org/legis/bills/bills_125th/chapters/PUBLIC695.asp,Yes,"Approve a $7,925,000 bond issue to be expended over 2 years for revolving loan funds for drinking water systems and for wastewater treatment facilities, which will make the State eligible to secure $39,625,000 in federal grants.",No,"Reject the $7,925,000 bond issue for revolving loan funds for drinking water systems and for wastewater treatment facilities.",""
BI00133,CO,Amendment 64,Colorado Marijuana Legalization Initiative in connection and providing for the regulation of marijuana,"Shall there be an amendment to the Colorado constitution concerning marijuana, and, in connection therewith, providing for the regulation of marijuana; permitting a person twenty-one years of age or older to consume or possess limited amounts of marijuana; providing for the licensing of cultivation facilities, product manufacturing facilities, testing facilities, and retail stores; permitting local governments to regulate or prohibit such facilities; requiring the general assembly to enact an excise tax to be levied upon wholesale sales of marijuana; requiring that the first $40 million in revenue raised annually by such tax be credited to the public school capital construction assistance fund; and requiring the general assembly to enact legislation governing the cultivation, processing, and sale of industrial hemp?",http://www.sos.state.co.us/pubs/elections/Initiatives/titleBoard/filings/2011-2012/30Final.pdf,Yes,"Approves an amendment to the Colorado constitution concerning marijuana, providing for the regulation of marijuana; permitting a person twenty-one years of age or older to consume or possess limited amounts of marijuana; providing for the licensing of cultivation facilities, product manufacturing facilities, testing facilities, and retail stores; permitting local governments to regulate or prohibit such facilities; requiring the general assembly to enact an excise tax to be levied upon wholesale sales of marijuana; requiring that the first $40 million in revenue raised annually by such tax be credited to the public school capital construction assistance fund; and requiring the general assembly to enact legislation governing the cultivation, processing, and sale of industrial hemp.",No,"Rejects the proposed constitutional ammendment and retains the existing state law governing the sale, cultivation, consumption, and possession of marijuana and industrial hemp.",""
BI00134,CO,Amendment S,Ammends the Colorado constitution concerning the state personnel system.,"Shall there be an amendment to the Colorado constitution concerning the state personnel system, and, in connection therewith, expanding the veterans' preference; increasing the number of candidates eligible to be appointed to a position; adjusting the duration of allowable temporary employment; allowing the flexibility to remove a limited number of positions from the system; modifying the residency requirement; adjusting the terms of service for members of the state personnel board; and requiring merit-based appointments to be made through a comparative analysis process?",http://www.leg.state.co.us/LCS/Initiative%20Referendum/1112initrefr.nsf/c63bddd6b9678de787257799006bd391/8b49cb9a3a922b19872579fe00634a4d/$FILE/Amendment%20S%20-%20State%20Personnel%20System.pdf,Yes,"Approves an amendment to the Colorado constitution concerning the state personnel system, and, in connection therewith, expanding the veterans' preference; increasing the number of candidates eligible to be appointed to a position; adjusting the duration of allowable temporary employment; allowing the flexibility to remove a limited number of positions from the system; modifying the residency requirement; adjusting the terms of service for members of the state personnel board; and requiring merit-based appointments to be made through a comparative analysis process.",No,Rejects the proposed constitutional ammendment concerning the state personnel system.,""
BI00045,AL,Amendment 1,"A Constitutional amendment to the Constitution of Alabama of 1901, relating to the Forever Wild Land Trust, to reauthorize the trust for a 20-year period","Proposing an amendment to the Constitution of Alabama of 1901, relating to the Forever Wild Land Trust, to reauthorize the trust for a 20-year period.  (Proposed by Act 2011-315) ",http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0008609.PDF,Yes,Approves the reauthorizes the Forever Wild Land Trust for an additional 20 years.,No,Rejects the reauthorizes the Forever Wild Land Trust for an additional 20 years.,""
BI00046,AL,Amendment 2,A Constitutional amendment that changes the allowances of the State to issue general obligation bonds.,"Proposing an amendment to allow issuance by the State from time to time of general obligation bonds under the authority of Section 219.04 and Section 219.041 to the Constitution of Alabama of 1901, as amended, so long as the aggregate principal amount of all such general obligation bonds at any time outstanding is not in excess of $750 million. This amendment would replace the maximum aggregate principal limitations currently contained in said Sections 219.04 and 219.041. The proposed amendment would also allow issuance by the State of general obligation refunding bonds under the authority of Sections 219.04 and 219.041 to the Constitution of Alabama of 1901, as amended, subject to certain minimum savings thresholds and limitations of maximum average maturity. (Proposed by Act 2012-567)",http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0009583.PDF,Yes,"Approves an ammendment that allow the State to issue general obligation bonds under the authority of Section 219.04 and Section 219.041, so long as the aggregate principal amount of all such general obligation bonds at any time outstanding is not in excess of $750 million - replacing the current maximum aggregate principal limitations in Sections 219.04 and 219.041.",No,Maintains the current maximum aggregate principal limitations in Sections 219.04 and 219.041 for issue general obligation bonds.,""
BI00047,AL,Amendment 3,A Constitutional ammendment to define the Stockton Landmark District in Baldwin County and to prohibit the annexation by local law of any property within the district into any municipality.,"Relating to Baldwin County, proposing an amendment to the Constitution of Alabama of 1901, to define the  Stockton Landmark District within the county and to prohibit the annexation by local law of any property within the district into any municipality. (Proposed by Act 2011-316)",http://alisondb.legislature.state.al.us/acas/searchableinstruments/2011rs/bills/hb588.htm,Yes,Approves the definition of the Stockton Landmark District in the constitution and to prohibits the annexation by local law of any property within the district into any municipality.,No,Rejects the proposed definition of the Stockton Landmark District.,""
BI00048,AL,Amendment 4,"A Constitutional ammendment to repeal portions of Amendment 111, now appearing as Section 256, relating to separation of schools by race and to repeal Section 259, Amendment 90, and Amendment 109, relating to the poll tax","Proposing an amendment to the Constitution of Alabama of 1901, to repeal portions of Amendment 111, now appearing as Section 256 of the Official Recompilation of the Constitution of Alabama of 1901, as amended, relating to separation of schools by race and to repeal Section 259, Amendment 90, and Amendment 109, relating to the poll tax. (Proposed by Act 2011-353)",http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0008647.PDF,Yes,"Approves the repeal of portions of Amendment 111 relating to separation of schools by race and the repeal Section 259, Amendment 90, and Amendment 109, relating to the poll tax",No,"Maintains the current text of Amendment 111, relating to separation of schools by race,  and Section 259, Amendment 90, and Amendment 109, relating to the poll tax",""
BI00049,AL,Amendment 5,"A Constitutional ammendment to provide for the transfer of the assets and liabilities of the Water Works and Sewer Board of the City of Prichard to the Board of Water and Sewer Commissioners of the City of Mobile, presently known as the Mobile Area Water and Sewer System.","Proposing an amendment to the Constitution of Alabama of 1901, to provide for the transfer of the assets and liabilities of the Water Works and Sewer Board of the City of Prichard to the Board of Water and Sewer Commissioners of the City of Mobile, presently known as the Mobile Area Water and Sewer System. (Proposed by Act 2011-543) ",http://alisondb.legislature.state.al.us/acas/searchableinstruments/2011rs/bills/sb466.htm,Yes,Approves the transfer of the assets and liabilities of the Water Works and Sewer Board of the City of Prichard to the Board of Water and Sewer Commissioners of the City of Mobile,No,Rejects the transfer of the assets and liabilities of the Water Works and Sewer Board of the City of Prichard to the Board of Water and Sewer Commissioners of the City of Mobile,""
BI00050,AL,Amendment 6,"A Constitutional ammendment to prohibit any person, employer, or health care provider from being compelled to participate in any health care system.","Proposing an amendment to the Constitution of Alabama of 1901, to prohibit any person, employer, or health care provider from being compelled to participate in any health care system. (Proposed by Act 2011-617)",http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0008651.PDF,Yes,"Approves the ammendment to prohibit any person, employer, or health care provider from being compelled to participate in any health care system.",No,"Rejects the ammendment to prohibit any person, employer, or health care provider from being compelled to participate in any health care system.",""
BI00051,AL,Amendment 7,"A Constitutional ammendment to Amendment 579, now appearing as Section 177,  to provide that the right of individuals to vote for public office, public votes on referenda, or votes of employee representation by secret ballot is fundamental","Proposing an amendment to the Constitution of Alabama of 1901, to amend Amendment 579 to the Constitution of Alabama of 1901, now appearing as Section 177 of the Official Recompilation of the Constitution of Alabama of 1901, as amended, to provide that the right of individuals to vote for public office, public votes on referenda, or votes of employee representation by secret ballot is fundamental. (Proposed by Act 2011-656)",http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0008719.PDF,Yes,"Approves the ammendment to Amendment 579, now appearing as Section 177, to provide that the right of individuals to vote for public office, public votes on referenda, or votes of employee representation by secret ballot is fundamental",No,"Rejects the ammendment and maintiains  Amendment 579, now appearing as Section 177, as currently written.",""
BI00052,AL,Amendment 8,A Constitutional ammendment to repeal the existing provisions for legislative compensation and expenses and establishes new compensation and expsense requirements.,"Proposing an amendment to the Constitution of Alabama of 1901, to repeal the existing provisions for legislative compensation and expenses and establish the basic compensation of the Legislature at the median household income in Alabama; to require legislators to submit signed vouchers for reimbursement for expenses; and to prohibit the Legislature from increasing the compensation or expenses payable to its members. (Proposed by Act 2012-269) ",http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0009283.PDF,Yes,"Approves the repeal the existing provisions for legislative compensation and expenses and establishes the basic compensation of the Legislature at the median household income in Alabama, requires legislators to submit signed vouchers for reimbursement for expenses, and prohibits the Legislature from increasing the compensation or expenses payable to its members.",No,Maintains the existing provisions for legislative compensation and expense,""
BI00053,AL,Amendment 9,"A Constitutional ammendment to the private corporation provisions of Article 12, to become effective January 1, 2014, to continue the authority of the Legislature to pass general laws pertaining to corporations and other entities","Proposing an amendment to the private corporation provisions of Article 12 of the Constitution of Alabama of 1901, to become effective January 1, 2014, to continue the authority of the Legislature to pass general laws pertaining to corporations and other entities; to continue the authority of the Legislature to regulate and impose a business privilege tax on corporations and other entities; and to repeal various provisions concerning private corporations, railroads, and canals. (Proposed by Act 2012-275) ",http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0009289.PDF,Yes,"Approves the ammendment to the private corporation provisions of Article 12, effective January 1, 2014, to continue the authority of the Legislature to pass general laws pertaining to corporations and other entities; to continue the authority of the Legislature to regulate and impose a business privilege tax on corporations and other entities; and to repeal various provisions concerning private corporations, railroads, and canals.",No,Maintains the private corporation provisions of Article 12 as currently written.,""
BI00054,AL,Amendment 10,A Constitutional ammendment to the constitution relating to the authority of the Legislature concerning banks and banking.,"Proposing an amendment to the Constitution of Alabama of 1901, effective January 1, 2014, to amend Section 247 relating to the authority of the Legislature concerning banks and banking, to repeal various other provisions of Article XIII concerning banks and banking; and to repeal Amendment 154 to the Constitution of Alabama of 1901, now appearing as Section 255.01 of the Official Recompilation of the Constitution of Alabama of 1901, as amended, subject to the contingency that a new Article XII of the state constitution is adopted that repeals existing Section 232 of the state constitution, and subject to the contingency that Sections 10A-2-15.01 and 10A-2-15.02, Code of Alabama 1975, are repealed. (Proposed by Act 2012-276) ",http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0009290.PDF,Yes,"Approves an amendment, effective January 1, 2014, to Section 247 relating to the authority of the Legislature concerning banks and banking, repeals various other provisions of Article XIII concerning banks and banking, and repeals Amendment 154, now appearing as Section 255.01, as amended, subject to the contingency that a new Article XII of the state constitution is adopted that repeals existing Section 232 of the state constitution, and subject to the contingency that Sections 10A-2-15.01 and 10A-2-15.02, Code of Alabama 1975, are repealed.",No,"Rejects the amendment to Section 247 relating to the authority of the Legislature concerning banks and banking, and maintains various other provisions of Article XII concerning banks and banking, Amendment 154, now appearing as Section 255.01.",""
BI00055,AL,Amendment 11,"A Constitutional ammendment relating to Lawrence County prohibiting any municipality located entirely outside of Lawrence County from imposing any municipal ordinance or regulation and any inspection service in its police jurisdiction located in Lawrence County. And provies that municipalities prohibited from imposing any tax or regulation under this amendment shall not provide any regulatory function or police or fire protection services in its police jurisdiction located in Lawrence County, other than public safety mutual aid","Relating to Lawrence County, proposing an amendment to the Constitution of Alabama of 1901, to prohibit any municipality located entirely outside of Lawrence County from imposing any municipal ordinance or regulation, including, but not limited to, any tax, zoning, planning, or sanitation regulations, and any inspection service in its police jurisdiction located in Lawrence County and to provide that a municipality prohibited from imposing any tax or regulation under this amendment shall not provide any regulatory function or police or fire protection services in its police jurisdiction located in Lawrence County, other than public safety mutual aid. (Proposed by Act 2012-308)",http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0009323.PDF,Yes,"Approves an ammendment relating to Lawrence County, prohibiting any municipality located entirely outside of Lawrence County from imposing any municipal ordinance or regulation, including, but not limited to, any tax, zoning, planning, or sanitation regulations, and any inspection service in its police jurisdiction located in Lawrence County and to provide that a municipality prohibited from imposing any tax or regulation under this amendment shall not provide any regulatory function or police or fire protection services in its police jurisdiction located in Lawrence County, other than public safety mutual aid.",No,Rejects the proposed ammendment.,""
BI00056,AK,Bonding Proposition A,"Approves issuing State General Obligation Transportation Project Bonds for $453,499,200","Shall the State of Alaska issue its general obligation bonds in the principal amount of not more than $453,499,200 for the purpose of paying the cost of state transportation projects?",http://www.elections.alaska.gov/ei_general_bm.php,Yes,"Approves issue its general obligation bonds by the State of Alaksa for an amount of not more than $453,499,200 for the purpose of paying the cost of state transportation projects.",No,Rejects the issue its general obligation bonds by the State of Alaksa for the purpose of paying the cost of state transportation projects.,""
BI00057,AK,Ballot Measure No. 1,Constitutional Convention Question,Shall there be a constitutional convention?,http://www.elections.alaska.gov/ei_general_bm.php,Yes,Affirms that there should be a constitutional convention.,No,Rejects that there should be a constitutional convention.,""
BI00058,DC,Charter Amendment V,"A Charter Amendment on Expulsion for Gross Misconduct, D.C. Council upon a 5/6 vote of its members.","This Charter Amendment, if passed, would permit the Council to adopt a resolution to expel a Councilmember upon a 5/6 vote of its members upon demonstrating that Councilmember's gross failure to meet the highest standards of conduct and upon establishing procedures for the expulsion of a Councilmember.",http://dcregs.dc.gov/Gateway/NoticeHome.aspx?NoticeID=2452080,Yes,Approves a an ammendment that would permit the Council to adopt a resolution to expel a Councilmember upon a 5/6 vote of its members upon demonstrating that Councilmember's gross failure to meet the highest standards of conduct and upon establishing procedures for the expulsion of a Councilmember.,No,Rejects an ammendment that would permit the Council to adopt a resolution to expel a Councilmember.,""
BI00059,DC,Charter Amendment Vi,"A Charter Amendment on disqualification from Office for Felony Conviction, D.C. Councilor","This Charter Amendment, if passed, would make anyone who is convicted of a felony while holding the office of Councilmember ineligible to remain in office and ineligible to ever hold the office again. ",http://dcregs.dc.gov/Gateway/NoticeHome.aspx?NoticeID=2452080,Yes,Approves an ammendment that would make anyone who is convicted of a felony while holding the office of Councilmember ineligible to remain in office and ineligible to ever hold the office again.,No,Rejects an ammendment making anyone who is convicted of a felony while holding the office of Councilmember ineligible to remain in office and ineligible to ever hold the office again.,""
BI00060,DC,Charter Amendment Vii,"A Charter ammendment on disqualification from Office for Felony Conviction, Mayor","This Charter Amendment, if passed, would make anyone who is convicted of a felony while holding the office of Mayor ineligible to remain in office and ineligible to ever hold the office again.",http://dcregs.dc.gov/Gateway/NoticeHome.aspx?NoticeID=2452080,Yes,Approves an ammendment which would make anyone who is convicted of a felony while holding the office of Mayor ineligible to remain in office and ineligible to ever hold the office again.,No,Rejects an ammendment which would make anyone who is convicted of a felony while holding the office of Mayor ineligible to remain in office and ineligible to ever hold the office again.,""
BI00061,FL,Number 1,"An ammendment to prohibit laws or rules from compelling any person or employer to purchase, obtain, or otherwise provide for health care coverage.","Proposing an amendment to the State Constitution to prohibit laws or rules from compelling any person or employer to purchase, obtain, or otherwise provide for health care coverage; permit a person or an employer to purchase lawful health care services directly from a health care provider; permit a health care provider to accept direct payment from a person or an employer for lawful health care services; exempt persons, employers, and health care providers from penalties and taxes for paying directly or accepting direct payment for lawful health care services; and prohibit laws or rules from abolishing the private market for health care coverage of any lawful health care service. Specifies that the amendment does not affect which health care services a health care provider is required to perform or provide; affect which health care services are permitted by law; prohibit care provided pursuant to general law relating to workers' compensation; affect laws or rules in effect as of March 1, 2010; affect the terms or conditions of any health care system to the extent that those terms and conditions do not have the effect of punishing a person or an employer for paying directly for lawful health care services or a health care provider for accepting direct payment from a person or an employer for lawful health care services; or affect any general law passed by two-thirds vote of the membership of each house of the Legislature, passed after the effective date of the amendment, provided such law states with specificity the public necessity justifying the exceptions from the provisions of the amendment. The amendment expressly provides that it may not be construed to prohibit negotiated provisions in insurance contracts, network agreements, or other provider agreements contractually limiting copayments, coinsurance, deductibles, or other patient charges. ",http://election.dos.state.fl.us/initiatives/fulltext/pdf/10-77.pdf,Yes,"Approves an ammendment to prohibit laws or rules from compelling any person or employer to purchase, obtain, or otherwise provide for health care coverage; permit a person or an employer to purchase lawful health care services directly from a health care provider; permit a health care provider to accept direct payment from a person or an employer for lawful health care services; exempt persons, employers, and health care providers from penalties and taxes for paying directly or accepting direct payment for lawful health care services; and prohibit laws or rules from abolishing the private market for health care coverage of any lawful health care service. Specifies that the amendment does not affect which health care services a health care provider is required to perform or provide; affect which health care services are permitted by law; prohibit care provided pursuant to general law relating to workersI compensation; affect laws or rules in effect as of March 1, 2010; affect the terms or conditions of any health care system to the extent that those terms and conditions do not have the effect of punishing a person or an employer for paying directly for lawful health care services or a health care provider for accepting direct payment from a person or an employer for lawful health care services; or affect any general law passed by two-thirds vote of the membership of each house of the Legislature, passed after the effective date of the amendment, provided such law states with specificity the public necessity justifying the exceptions from the provisions of the amendment. The amendment expressly provides that it may not be construed to prohibit negotiated provisions in insurance contracts, network agreements, or other provider agreements contractually limiting copayments, coinsurance, deductibles, or other patient charges.",No,Rejects the proposed amendment and maintains current law.,""
BI00062,FL,Number 2,A Constitutional ammendment expand the availability of the property discount on the homesteads of veterans who became disabled as the result of a combat injury to include those who were not Florida residents when they entered the military,"Proposing an amendment to Section 6 of Article VII and the creation of Section 32 of Article XII of the State Constitution to expand the availability of the property discount on the homesteads of veterans who became disabled as the result of a combat injury to include those who were not Florida residents when they entered the military and schedule the amendment to take effect January 1, 2013. ",http://election.dos.state.fl.us/initiatives/fulltext/pdf/10-78.pdf,Yes,"Approves an amendment to Section 6 of Article VII and the creation of Section 32 of Article XII of the State Constitution to expand the availability of the property discount on the homesteads of veterans who became disabled as the result of a combat injury to include those who were not Florida residents when they entered the military and schedule the amendment to take effect January 1, 2013.",No,Rejects the proposed amendment and maintains current law.,""
BI00063,FL,Number 3,A Constitutional ammendment to replace the existing state revenue limitation based on Florida personal income growth with a new state revenue limitation based on inflation and population changes.,"This proposed amendment to the State Constitution replaces the existing state revenue limitation based on Florida personal income growth with a new state revenue limitation based on inflation and population changes. Under the amendment, state revenues, as defined in the amendment, collected in excess of the revenue limitation must be deposited into the budget stabilization fund until the fund reaches its maximum balance, and thereafter shall be used for the support and maintenance of public schools by reducing the minimum financial effort required from school districts for participation in a state-funded education finance program, or, if the minimum financial effort is no longer required, returned to the taxpayers. The Legislature may increase the state revenue limitation through a bill approved by a super majority vote of each house of the Legislature. The Legislature may also submit a proposed increase in the state revenue limitation to the voters. The Legislature must implement this proposed amendment by general law. The amendment will take effect upon approval by the electors and will first apply to the 2014-2015 state fiscal year. ",http://election.dos.state.fl.us/initiatives/fulltext/pdf/10-79.pdf,Yes,"Approves an ammendment to replace the existing state revenue limitation based on Florida personal income growth with a new state revenue limitation based on inflation and population changes. Under the amendment, state revenues, as defined in the amendment, collected in excess of the revenue limitation must be deposited into the budget stabilization fund until the fund reaches its maximum balance, and thereafter shall be used for the support and maintenance of public schools by reducing the minimum financial effort required from school districts for participation in a state-funded education finance program, or, if the minimum financial effort is no longer required, returned to the taxpayers. The Legislature may increase the state revenue limitation through a bill approved by a super majority vote of each house of the Legislature. The Legislature may also submit a proposed increase in the state revenue limitation to the voters. The Legislature must implement this proposed amendment by general law. The amendment will take effect upon approval by the electors and will first apply to the 2014-2015 state fiscal year.",No,Rejects the proposed amendment and maintains current law.,""
